"","name","year","rank","sex"
"258","Nevzat","1970","75","M"
"259","Nurettin","1970","59","M"
"260","Nuri","1970","79","M"
"261","Nihat","1970","39","M"
"262","Oktay","1970","97","M"
"263","Orhan","1970","26","M"
"264","Osman","1970","11","M"
"265","Ramazan","1970","10","M"
"266","Recep","1970","21","M"
"267","Salih","1970","29","M"
"268","Sedat","1970","50","M"
"269","Selahattin","1970","51","M"
"270","Selim","1970","81","M"
"271","Süleyman","1970","15","M"
"272","Sinan","1970","88","M"
"273","Tuncay","1970","78","M"
"274","Turan","1970","86","M"
"275","Uğur","1970","52","M"
"276","Vedat","1970","76","M"
"277","Veli","1970","98","M"
"278","Veysel","1970","82","M"
"279","Yakup","1970","46","M"
"280","Yavuz","1970","96","M"
"281","Yaşar","1970","19","M"
"282","Yılmaz","1970","22","M"
"283","Yusuf","1970","14","M"
"284","Yüksel","1970","36","M"
"285","Zafer","1970","100","M"
"286","Zeki","1970","44","M"
"287","Çetin","1970","65","M"
"288","Ömer","1970","13","M"
"289","Özcan","1970","67","M"
"290","İbrahim","1970","9","M"
"291","İhsan","1970","83","M"
"292","İlhan","1970","49","M"
"293","İrfan","1970","57","M"
"294","İsa","1970","53","M"
"295","İsmail","1970","8","M"
"296","İsmet","1970","60","M"
"297","Şaban","1970","48","M"
"298","Şahin","1970","68","M"
"299","Şenol","1970","74","M"
"300","Şükrü","1970","70","M"
"301","Abdullah","1980","20","M"
"302","Abdurrahman","1980","86","M"
"303","Adem","1980","15","M"
"304","Ahmet","1980","4","M"
"305","Alper","1980","98","M"
"306","Ali","1980","5","M"
"307","Arif","1980","74","M"
"308","Aydın","1980","51","M"
"309","Ayhan","1980","34","M"
"310","Barış","1980","47","M"
"311","Bayram","1980","45","M"
"312","Bekir","1980","65","M"
"313","Bülent","1980","54","M"
"314","Bilal","1980","68","M"
"315","Cem","1980","94","M"
"316","Cemal","1980","89","M"
"317","Cemil","1980","83","M"
"318","Cengiz","1980","50","M"
"319","Deniz","1980","76","M"
"320","Ekrem","1980","95","M"
"321","Emrah","1980","82","M"
"322","Emre","1980","62","M"
"323","Engin","1980","31","M"
"324","Ercan","1980","30","M"
"325","Erdal","1980","44","M"
"326","Erdem","1980","96","M"
"327","Erhan","1980","32","M"
"328","Erkan","1980","17","M"
"329","Erol","1980","52","M"
"330","Ersin","1980","66","M"
"331","Faruk","1980","75","M"
"332","Fatih","1980","10","M"
"333","Ferdi","1980","70","M"
"334","Ferhat","1980","49","M"
"335","Gökhan","1980","29","M"
"336","Hakan","1980","13","M"
"337","Halil","1980","22","M"
"338","Harun","1980","43","M"
"339","Hasan","1980","8","M"
"340","Hüseyin","1980","7","M"
"341","Kadir","1980","33","M"
"342","Kemal","1980","41","M"
"343","Kenan","1980","26","M"
"344","Levent","1980","53","M"
"345","Mahmut","1980","27","M"
"346","Mehmet","1980","1","M"
"347","Mehmet ali","1980","57","M"
"348","Mesut","1980","35","M"
"349","Metin","1980","25","M"
"350","Muhammet","1980","60","M"
"351","Muharrem","1980","85","M"
"352","Murat","1980","3","M"
"353","Musa","1980","56","M"
"354","Mustafa","1980","2","M"
"355","Nihat","1980","77","M"
"356","Oktay","1980","93","M"
"357","Onur","1980","72","M"
"358","Orhan","1980","24","M"
"359","Osman","1980","16","M"
"360","Ramazan","1980","12","M"
"361","Recep","1980","36","M"
"362","Salih","1980","40","M"
"363","Sedat","1980","39","M"
"364","Selçuk","1980","67","M"
"365","Selim","1980","79","M"
"366","Serdar","1980","19","M"
"367","Serkan","1980","6","M"
"368","Soner","1980","80","M"
"369","Suat","1980","90","M"
"370","Süleyman","1980","21","M"
"371","Sinan","1980","28","M"
"372","Taner","1980","97","M"
"373","Tarık","1980","92","M"
"374","Tuncay","1980","64","M"
"375","Turgay","1980","91","M"
"376","Umut","1980","100","M"
"377","Uğur","1980","37","M"
"378","Vedat","1980","81","M"
"379","Volkan","1980","46","M"
"380","Yakup","1980","63","M"
"381","Yasin","1980","48","M"
"382","Yavuz","1980","71","M"
"383","Yaşar","1980","55","M"
"384","Yılmaz","1980","42","M"
"385","Yunus","1980","61","M"
"386","Yusuf","1980","18","M"
"387","Zafer","1980","69","M"
"388","Çetin","1980","99","M"
"389","Ömer","1980","14","M"
"390","Özcan","1980","78","M"
"391","Özgür","1980","23","M"
"392","Özkan","1980","58","M"
"393","Ümit","1980","38","M"
"394","İbrahim","1980","9","M"
"395","İlhan","1980","73","M"
"396","İlker","1980","87","M"
"397","İrfan","1980","88","M"
"398","İsa","1980","59","M"
"399","İsmail","1980","11","M"
"400","Şenol","1980","84","M"
"401","Abdullah","1981","20","M"
"402","Abdurrahman","1981","85","M"
"403","Adem","1981","15","M"
"404","Ahmet","1981","4","M"
"405","Ali","1981","5","M"
"406","Arif","1981","82","M"
"407","Aydın","1981","48","M"
"408","Ayhan","1981","40","M"
"409","Barış","1981","53","M"
"410","Bayram","1981","42","M"
"411","Bekir","1981","68","M"
"412","Burhan","1981","97","M"
"413","Bülent","1981","74","M"
"414","Bilal","1981","67","M"
"415","Cemal","1981","92","M"
"416","Cemil","1981","96","M"
"417","Cengiz","1981","52","M"
"418","Cihan","1981","84","M"
"419","Ekrem","1981","94","M"
"420","Emrah","1981","69","M"
"421","Emre","1981","50","M"
"422","Engin","1981","33","M"
"423","Ercan","1981","28","M"
"424","Erdal","1981","44","M"
"425","Erdem","1981","78","M"
"426","Erhan","1981","27","M"
"427","Erkan","1981","19","M"
"428","Erol","1981","59","M"
"429","Ersin","1981","63","M"
"430","Evren","1981","79","M"
"431","Faruk","1981","75","M"
"432","Fatih","1981","8","M"
"433","Ferdi","1981","71","M"
"434","Ferhat","1981","43","M"
"435","Gökhan","1981","23","M"
"436","Hakan","1981","13","M"
"437","Halil","1981","22","M"
"438","Harun","1981","46","M"
"439","Hasan","1981","7","M"
"440","Hüseyin","1981","6","M"
"441","Kadir","1981","30","M"
"442","Kemal","1981","45","M"
"443","Kenan","1981","17","M"
"444","Levent","1981","65","M"
"445","Mahmut","1981","26","M"
"446","Mehmet","1981","1","M"
"447","Mehmet ali","1981","56","M"
"448","Mesut","1981","36","M"
"449","Metin","1981","29","M"
"450","Muhammet","1981","60","M"
"451","Muharrem","1981","95","M"
"452","Murat","1981","3","M"
"453","Musa","1981","54","M"
"454","Mustafa","1981","2","M"
"455","Nihat","1981","81","M"
"456","Oktay","1981","100","M"
"457","Onur","1981","61","M"
"458","Orhan","1981","25","M"
"459","Osman","1981","16","M"
"460","Ramazan","1981","12","M"
"461","Recep","1981","31","M"
"462","Salih","1981","47","M"
"463","Sedat","1981","39","M"
"464","Selçuk","1981","58","M"
"465","Selim","1981","77","M"
"466","Serdar","1981","21","M"
"467","Serhat","1981","91","M"
"468","Serkan","1981","9","M"
"469","Soner","1981","73","M"
"470","Suat","1981","87","M"
"471","Süleyman","1981","24","M"
"472","Sinan","1981","34","M"
"473","Taner","1981","88","M"
"474","Tuncay","1981","66","M"
"475","Turgay","1981","89","M"
"476","Ufuk","1981","98","M"
"477","Uğur","1981","35","M"
"478","Vedat","1981","83","M"
"479","Volkan","1981","37","M"
"480","Yakup","1981","64","M"
"481","Yasin","1981","38","M"
"482","Yavuz","1981","76","M"
"483","Yaşar","1981","62","M"
"484","Yılmaz","1981","49","M"
"485","Yunus","1981","55","M"
"486","Yusuf","1981","18","M"
"487","Zafer","1981","70","M"
"488","Çetin","1981","99","M"
"489","Ömer","1981","14","M"
"490","Özcan","1981","72","M"
"491","Özgür","1981","32","M"
"492","Özkan","1981","57","M"
"493","Ümit","1981","41","M"
"494","İbrahim","1981","10","M"
"495","İlhan","1981","80","M"
"496","İlker","1981","86","M"
"497","İrfan","1981","90","M"
"498","İsa","1981","51","M"
"499","İsmail","1981","11","M"
"500","Şenol","1981","93","M"
"501","Abdullah","1982","21","M"
"502","Abdurrahman","1982","84","M"
"503","Adem","1982","16","M"
"504","Ahmet","1982","4","M"
"505","Alper","1982","85","M"
"506","Ali","1982","5","M"
"507","Arif","1982","81","M"
"508","Aydın","1982","56","M"
"509","Ayhan","1982","49","M"
"510","Barış","1982","62","M"
"511","Bayram","1982","45","M"
"512","Bekir","1982","70","M"
"513","Burhan","1982","88","M"
"514","Bülent","1982","87","M"
"515","Bilal","1982","67","M"
"516","Cemal","1982","95","M"
"517","Cemil","1982","93","M"
"518","Cengiz","1982","61","M"
"519","Cihan","1982","66","M"
"520","Ekrem","1982","89","M"
"521","Emrah","1982","60","M"
"522","Emre","1982","44","M"
"523","Emin","1982","99","M"
"524","Engin","1982","31","M"
"525","Ercan","1982","27","M"
"526","Erdal","1982","50","M"
"527","Erdem","1982","71","M"
"528","Erhan","1982","33","M"
"529","Erkan","1982","19","M"
"530","Erol","1982","65","M"
"531","Ersin","1982","54","M"
"532","Faruk","1982","74","M"
"533","Fatih","1982","7","M"
"534","Ferdi","1982","77","M"
"535","Ferhat","1982","41","M"
"536","Gökhan","1982","17","M"
"537","Hakan","1982","13","M"
"538","Halil","1982","23","M"
"539","Halil ibrahim","1982","100","M"
"540","Harun","1982","42","M"
"541","Hasan","1982","8","M"
"542","Hüseyin","1982","6","M"
"543","Kadir","1982","30","M"
"544","Kemal","1982","47","M"
"545","Kenan","1982","20","M"
"546","Levent","1982","69","M"
"547","Mahmut","1982","26","M"
"548","Mehmet","1982","1","M"
"549","Mehmet ali","1982","59","M"
"550","Mesut","1982","38","M"
"551","Metin","1982","34","M"
"552","Muhammet","1982","57","M"
"553","Muharrem","1982","90","M"
"554","Murat","1982","3","M"
"555","Musa","1982","55","M"
"556","Mustafa","1982","2","M"
"557","Nihat","1982","92","M"
"558","Onur","1982","48","M"
"559","Orhan","1982","25","M"
"560","Osman","1982","15","M"
"561","Ramazan","1982","12","M"
"562","Recep","1982","28","M"
"563","Salih","1982","46","M"
"564","Sedat","1982","40","M"
"565","Selçuk","1982","43","M"
"566","Selim","1982","75","M"
"567","Serdar","1982","22","M"
"568","Serhat","1982","78","M"
"569","Serkan","1982","10","M"
"570","Soner","1982","73","M"
"571","Suat","1982","91","M"
"572","Süleyman","1982","24","M"
"573","Sinan","1982","32","M"
"574","Taner","1982","96","M"
"575","Tuncay","1982","68","M"
"576","Turgay","1982","97","M"
"577","Ufuk","1982","76","M"
"578","Uğur","1982","36","M"
"579","Vedat","1982","83","M"
"580","Veysel","1982","98","M"
"581","Volkan","1982","37","M"
"582","Yakup","1982","63","M"
"583","Yasin","1982","35","M"
"584","Yavuz","1982","82","M"
"585","Yaşar","1982","64","M"
"586","Yılmaz","1982","58","M"
"587","Yunus","1982","51","M"
"588","Yusuf","1982","18","M"
"589","Zafer","1982","72","M"
"590","Ömer","1982","14","M"
"591","Özcan","1982","80","M"
"592","Özgür","1982","39","M"
"593","Özkan","1982","53","M"
"594","Ümit","1982","29","M"
"595","İbrahim","1982","9","M"
"596","İlhan","1982","79","M"
"597","İlker","1982","86","M"
"598","İrfan","1982","94","M"
"599","İsa","1982","52","M"
"600","İsmail","1982","11","M"
"601","Abdullah","1983","19","M"
"602","Abdurrahman","1983","88","M"
"603","Adem","1983","17","M"
"604","Ahmet","1983","4","M"
"605","Alper","1983","86","M"
"606","Ali","1983","5","M"
"607","Arif","1983","76","M"
"608","Aydın","1983","60","M"
"609","Ayhan","1983","53","M"
"610","Barış","1983","64","M"
"611","Bayram","1983","45","M"
"612","Bekir","1983","68","M"
"613","Burhan","1983","92","M"
"614","Bülent","1983","89","M"
"615","Bilal","1983","67","M"
"616","Caner","1983","80","M"
"617","Cem","1983","96","M"
"618","Cemil","1983","100","M"
"619","Cengiz","1983","63","M"
"620","Cihan","1983","61","M"
"621","Deniz","1983","98","M"
"622","Ekrem","1983","91","M"
"623","Emrah","1983","56","M"
"624","Emre","1983","38","M"
"625","Engin","1983","34","M"
"626","Ercan","1983","33","M"
"627","Erdal","1983","44","M"
"628","Erdem","1983","72","M"
"629","Erhan","1983","46","M"
"630","Erkan","1983","20","M"
"631","Erol","1983","69","M"
"632","Ersin","1983","51","M"
"633","Faruk","1983","78","M"
"634","Fatih","1983","6","M"
"635","Ferdi","1983","81","M"
"636","Ferhat","1983","41","M"
"637","Gökhan","1983","13","M"
"638","Hakan","1983","15","M"
"639","Halil","1983","23","M"
"640","Halil ibrahim","1983","93","M"
"641","Harun","1983","47","M"
"642","Hasan","1983","9","M"
"643","Hüseyin","1983","7","M"
"644","Kadir","1983","30","M"
"645","Kemal","1983","49","M"
"646","Kenan","1983","21","M"
"647","Levent","1983","74","M"
"648","Mahmut","1983","31","M"
"649","Mehmet","1983","1","M"
"650","Mehmet ali","1983","58","M"
"651","Mesut","1983","37","M"
"652","Metin","1983","36","M"
"653","Mevlüt","1983","99","M"
"654","Muhammet","1983","55","M"
"655","Muharrem","1983","95","M"
"656","Murat","1983","3","M"
"657","Musa","1983","57","M"
"658","Mustafa","1983","2","M"
"659","Onur","1983","35","M"
"660","Orhan","1983","29","M"
"661","Osman","1983","16","M"
"662","Ramazan","1983","11","M"
"663","Recep","1983","32","M"
"664","Salih","1983","48","M"
"665","Sedat","1983","43","M"
"666","Selçuk","1983","25","M"
"667","Selim","1983","73","M"
"668","Serdar","1983","24","M"
"669","Serhat","1983","70","M"
"670","Serkan","1983","12","M"
"671","Soner","1983","59","M"
"672","Süleyman","1983","26","M"
"673","Sinan","1983","22","M"
"674","Taner","1983","87","M"
"675","Tuncay","1983","75","M"
"676","Turgay","1983","90","M"
"677","Ufuk","1983","79","M"
"678","Uğur","1983","39","M"
"679","Vedat","1983","85","M"
"680","Volkan","1983","40","M"
"681","Yakup","1983","62","M"
"682","Yasin","1983","28","M"
"683","Yavuz","1983","84","M"
"684","Yaşar","1983","66","M"
"685","Yılmaz","1983","65","M"
"686","Yunus","1983","50","M"
"687","Yusuf","1983","18","M"
"688","Zafer","1983","71","M"
"689","Ömer","1983","14","M"
"690","Özcan","1983","77","M"
"691","Özgür","1983","42","M"
"692","Özkan","1983","52","M"
"693","Ümit","1983","27","M"
"694","İbrahim","1983","8","M"
"695","İlhan","1983","83","M"
"696","İlker","1983","82","M"
"697","İlyas","1983","97","M"
"698","İrfan","1983","94","M"
"699","İsa","1983","54","M"
"700","İsmail","1983","10","M"
"701","Abdullah","1984","19","M"
"702","Abdurrahman","1984","92","M"
"703","Adem","1984","17","M"
"704","Adnan","1984","95","M"
"705","Ahmet","1984","4","M"
"706","Alper","1984","87","M"
"707","Ali","1984","5","M"
"708","Arif","1984","78","M"
"709","Aydın","1984","62","M"
"710","Ayhan","1984","57","M"
"711","Barış","1984","64","M"
"712","Bayram","1984","47","M"
"713","Bekir","1984","75","M"
"714","Burak","1984","80","M"
"715","Burhan","1984","94","M"
"716","Bilal","1984","63","M"
"717","Caner","1984","99","M"
"718","Cengiz","1984","71","M"
"719","Cihan","1984","53","M"
"720","Deniz","1984","85","M"
"721","Emrah","1984","31","M"
"722","Emre","1984","21","M"
"723","Emin","1984","98","M"
"724","Engin","1984","36","M"
"725","Ercan","1984","34","M"
"726","Erdal","1984","37","M"
"727","Erdem","1984","69","M"
"728","Erhan","1984","49","M"
"729","Erkan","1984","20","M"
"730","Erol","1984","70","M"
"731","Ersin","1984","52","M"
"732","Faruk","1984","77","M"
"733","Fatih","1984","6","M"
"734","Ferdi","1984","89","M"
"735","Ferhat","1984","43","M"
"736","Gökhan","1984","11","M"
"737","Hakan","1984","15","M"
"738","Halil","1984","22","M"
"739","Halil ibrahim","1984","83","M"
"740","Harun","1984","48","M"
"741","Hasan","1984","9","M"
"742","Hüseyin","1984","8","M"
"743","Kadir","1984","28","M"
"744","Kemal","1984","51","M"
"745","Kenan","1984","38","M"
"746","Levent","1984","81","M"
"747","Mahmut","1984","30","M"
"748","Mehmet","1984","1","M"
"749","Mehmet ali","1984","59","M"
"750","Mesut","1984","39","M"
"751","Metin","1984","42","M"
"752","Muhammet","1984","54","M"
"753","Murat","1984","3","M"
"754","Musa","1984","55","M"
"755","Mustafa","1984","2","M"
"756","Oktay","1984","97","M"
"757","Onur","1984","27","M"
"758","Orhan","1984","35","M"
"759","Osman","1984","18","M"
"760","Ramazan","1984","12","M"
"761","Recep","1984","33","M"
"762","Salih","1984","46","M"
"763","Samet","1984","74","M"
"764","Sedat","1984","41","M"
"765","Selçuk","1984","32","M"
"766","Selim","1984","76","M"
"767","Serdar","1984","24","M"
"768","Serhat","1984","72","M"
"769","Serkan","1984","13","M"
"770","Soner","1984","61","M"
"771","Süleyman","1984","26","M"
"772","Sinan","1984","23","M"
"773","Taner","1984","93","M"
"774","Tuncay","1984","65","M"
"775","Ufuk","1984","79","M"
"776","Uğur","1984","40","M"
"777","Vedat","1984","88","M"
"778","Veysel","1984","100","M"
"779","Volkan","1984","45","M"
"780","Yakup","1984","60","M"
"781","Yasin","1984","25","M"
"782","Yavuz","1984","91","M"
"783","Yaşar","1984","73","M"
"784","Yılmaz","1984","68","M"
"785","Yunus","1984","44","M"
"786","Yusuf","1984","16","M"
"787","Zafer","1984","66","M"
"788","Ömer","1984","14","M"
"789","Özcan","1984","84","M"
"790","Özgür","1984","50","M"
"791","Özkan","1984","58","M"
"792","Ümit","1984","29","M"
"793","İbrahim","1984","7","M"
"794","İlhan","1984","82","M"
"795","İlker","1984","86","M"
"796","İlyas","1984","67","M"
"797","İrfan","1984","96","M"
"798","İsa","1984","56","M"
"799","İsmail","1984","10","M"
"800","Şahin","1984","90","M"
"801","Abdullah","1985","20","M"
"802","Abdurrahman","1985","93","M"
"803","Adem","1985","19","M"
"804","Ahmet","1985","4","M"
"805","Alper","1985","92","M"
"806","Ali","1985","5","M"
"807","Arif","1985","78","M"
"808","Aydın","1985","66","M"
"809","Ayhan","1985","65","M"
"810","Barış","1985","61","M"
"811","Bayram","1985","47","M"
"812","Bekir","1985","74","M"
"813","Burak","1985","54","M"
"814","Burhan","1985","85","M"
"815","Bilal","1985","64","M"
"816","Cengiz","1985","76","M"
"817","Cihan","1985","52","M"
"818","Deniz","1985","91","M"
"819","Emrah","1985","15","M"
"820","Emre","1985","21","M"
"821","Engin","1985","43","M"
"822","Ercan","1985","42","M"
"823","Erdal","1985","38","M"
"824","Erdem","1985","71","M"
"825","Erhan","1985","45","M"
"826","Erkan","1985","22","M"
"827","Erol","1985","81","M"
"828","Ersin","1985","55","M"
"829","Faruk","1985","82","M"
"830","Fatih","1985","6","M"
"831","Ferdi","1985","98","M"
"832","Ferhat","1985","44","M"
"833","Fırat","1985","86","M"
"834","Gökhan","1985","10","M"
"835","Hakan","1985","16","M"
"836","Halil","1985","24","M"
"837","Halil ibrahim","1985","73","M"
"838","Harun","1985","48","M"
"839","Hasan","1985","9","M"
"840","Hüseyin","1985","8","M"
"841","Kadir","1985","29","M"
"842","Kemal","1985","50","M"
"843","Kenan","1985","46","M"
"844","Levent","1985","88","M"
"845","Mahmut","1985","26","M"
"846","Mehmet","1985","1","M"
"847","Mehmet ali","1985","58","M"
"848","Mesut","1985","35","M"
"849","Metin","1985","39","M"
"850","Muhammet","1985","51","M"
"851","Murat","1985","3","M"
"852","Musa","1985","57","M"
"853","Mustafa","1985","2","M"
"854","Okan","1985","80","M"
"855","Oktay","1985","100","M"
"856","Onur","1985","28","M"
"857","Orhan","1985","40","M"
"858","Osman","1985","18","M"
"859","Ramazan","1985","12","M"
"860","Recep","1985","30","M"
"861","Salih","1985","49","M"
"862","Samet","1985","63","M"
"863","Sedat","1985","36","M"
"864","Selçuk","1985","32","M"
